doc_id	topic_0	topic_1
759	0.028001	0.971999
760	0.032562	0.967438
761	0.138765	0.861235
762	0.251473	0.748527
763	0.148175	0.851825
764	0.066689	0.933311
765	0.616780	0.383220
766	0.145756	0.854244
767	0.271243	0.728757
768	0.230499	0.769501
769	0.039847	0.960153
770	0.030345	0.969655
771	0.054122	0.945878
772	0.263419	0.736581
773	0.306357	0.693643
774	0.029569	0.970431
775	0.165107	0.834893
776	0.118552	0.881448
777	0.339303	0.660697
778	0.344966	0.655034
779	0.038254	0.961746
780	0.089173	0.910827
781	0.026367	0.973633
782	0.449580	0.550420
783	0.408827	0.591173
784	0.159551	0.840449
785	0.034689	0.965311
786	0.775675	0.224325
787	0.507592	0.492408
788	0.037126	0.962874
789	0.024313	0.975687
790	0.031834	0.968166
791	0.164987	0.835013
792	0.066260	0.933740
793	0.183764	0.816236
794	0.031944	0.968056
795	0.087178	0.912822
796	0.143827	0.856173
797	0.188549	0.811451
798	0.059273	0.940727
799	0.032707	0.967293
800	0.439677	0.560323
801	0.107357	0.892643
802	0.030040	0.969960
803	0.080656	0.919344
804	0.037378	0.962622
805	0.941652	0.058348
806	0.138725	0.861275
807	0.062041	0.937959
808	0.122245	0.877755
809	0.036202	0.963798
810	0.047870	0.952130
811	0.029444	0.970556
812	0.028659	0.971341
813	0.028249	0.971751
814	0.220226	0.779774
815	0.018544	0.981456
816	0.023017	0.976983
817	0.156369	0.843631
818	0.024707	0.975293
819	0.024054	0.975946
820	0.034043	0.965957
821	0.482427	0.517573
822	0.192787	0.807213
823	0.889599	0.110401
824	0.150774	0.849226
825	0.190811	0.809189
826	0.403632	0.596368
827	0.510441	0.489559
828	0.042026	0.957974
829	0.041443	0.958557
830	0.039233	0.960767
831	0.025760	0.974240
832	0.480612	0.519388
833	0.023507	0.976493
834	0.371210	0.628790
835	0.122631	0.877369
836	0.042478	0.957522
837	0.299671	0.700329
838	0.240419	0.759581
839	0.139422	0.860578
840	0.161588	0.838412
841	0.959548	0.040452
842	0.209928	0.790072
843	0.117876	0.882124
844	0.342793	0.657207
845	0.461590	0.538410
846	0.153046	0.846954
847	0.025381	0.974619
848	0.035226	0.964774
849	0.029993	0.970007
850	0.137695	0.862305
851	0.157275	0.842725
852	0.225711	0.774289
853	0.927369	0.072631
854	0.211889	0.788111
855	0.249195	0.750805
856	0.039593	0.960407
857	0.047965	0.952035
858	0.051196	0.948804
859	0.123481	0.876519
860	0.036592	0.963408
861	0.041633	0.958367
862	0.101467	0.898533
863	0.035208	0.964792
864	0.186789	0.813211
865	0.403798	0.596202
866	0.033195	0.966805
867	0.029612	0.970388
868	0.035988	0.964012
869	0.020110	0.979890
870	0.030064	0.969936
871	0.028855	0.971145
872	0.706326	0.293674
873	0.026321	0.973679
874	0.459412	0.540588
875	0.326815	0.673185
876	0.023879	0.976121
877	0.064768	0.935232
878	0.057136	0.942864
879	0.096352	0.903648
880	0.080973	0.919027
881	0.410357	0.589643
882	0.332668	0.667332
883	0.083371	0.916629
884	0.023228	0.976772
885	0.225187	0.774813
886	0.086652	0.913348
887	0.022874	0.977126
888	0.041201	0.958799
889	0.826011	0.173989
890	0.061828	0.938172
891	0.285217	0.714783
892	0.618212	0.381788
893	0.553266	0.446734
894	0.032429	0.967571
895	0.034592	0.965408
896	0.395527	0.604473
897	0.461028	0.538972
898	0.218127	0.781873
899	0.042372	0.957628
900	0.041510	0.958490
901	0.882577	0.117423
902	0.062609	0.937391
903	0.034540	0.965460
904	0.040569	0.959431
905	0.354261	0.645739
906	0.101697	0.898303
907	0.587733	0.412267
908	0.070014	0.929986
909	0.023821	0.976179
910	0.031403	0.968597
911	0.221895	0.778105
912	0.039037	0.960963
913	0.659765	0.340235
914	0.423187	0.576813
915	0.970601	0.029399
916	0.021320	0.978680
917	0.026229	0.973771
918	0.733292	0.266708
919	0.030659	0.969341
920	0.023864	0.976136
921	0.201371	0.798629
922	0.404457	0.595543
923	0.023684	0.976316
924	0.033249	0.966751
925	0.656429	0.343571
926	0.113546	0.886454
927	0.023059	0.976941
928	0.023575	0.976425
929	0.027321	0.972679
930	0.028530	0.971470
931	0.028816	0.971184
932	0.042821	0.957179
933	0.036816	0.963184
934	0.085932	0.914068
935	0.029363	0.970637
936	0.184719	0.815281
937	0.746941	0.253059
938	0.394557	0.605443
939	0.167747	0.832253
940	0.029147	0.970853
941	0.073578	0.926422
942	0.748682	0.251318
943	0.248843	0.751157
944	0.030525	0.969475
945	0.208213	0.791787
946	0.030374	0.969626
947	0.949069	0.050931
948	0.172868	0.827132
949	0.245947	0.754053
950	0.022116	0.977884
951	0.033630	0.966370
952	0.028203	0.971797
953	0.024397	0.975603
954	0.299805	0.700195
955	0.222191	0.777809
956	0.078102	0.921898
957	0.135023	0.864977
958	0.041243	0.958757
959	0.041658	0.958342
960	0.034088	0.965912
961	0.861266	0.138734
962	0.240303	0.759697
963	0.168097	0.831903
964	0.369507	0.630493
965	0.026930	0.973070
966	0.167598	0.832402
967	0.191403	0.808597
968	0.035461	0.964539
969	0.043988	0.956012
970	0.215582	0.784418
971	0.072834	0.927166
972	0.036071	0.963929
973	0.035755	0.964245
974	0.032030	0.967970
975	0.088874	0.911126
976	0.149646	0.850354
977	0.861939	0.138061
978	0.496869	0.503131
979	0.065461	0.934539
980	0.038769	0.961231
981	0.022854	0.977146
982	0.027213	0.972787
983	0.044089	0.955911
984	0.256707	0.743293
